,instance_id,segment_id,date,interval,uptime,heavy,car,bike,pedestrian,heavy_lft,heavy_rgt,car_lft,car_rgt,bike_lft,bike_rgt,pedestrian_lft,pedestrian_rgt,direction,car_speed_hist_0to70plus,car_speed_hist_0to120plus,timezone,v85
0,-1,9000001395,2021-03-02T06:00:00.000Z,hourly,0.6183333333,0.0,509.4339622642,219.9460916442,30.7277628032,0.0,0.0,266.846361186,242.5876010782,100.269541779,119.6765498652,21.0242587601,9.7035040431,1,"[9.5238095238, 20.0, 49.2063492063, 17.4603174603, 3.1746031746, 0.3174603175, 0.0, 0.3174603175]","[6.0317460317, 3.4920634921, 5.0793650794, 14.9206349206, 22.2222222222, 26.9841269841, 13.9682539683, 3.4920634921, 2.5396825397, 0.6349206349, 0.0, 0.3174603175, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.3174603175, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",Europe/Berlin,29.5
0,-1,9000001395,2021-03-02T07:00:00.000Z,hourly,0.7838888889,0.0,609.7802976612,234.7271438696,20.4110559887,0.0,0.0,387.8100637845,221.9702338767,112.2608079376,122.466335932,14.0326009922,6.3784549965,1,"[12.7615062762, 34.5188284519, 45.3974895397, 5.8577405858, 1.2552301255, 0.0, 0.0, 0.2092050209]","[8.7866108787, 3.9748953975, 10.6694560669, 23.8493723849, 30.1255230126, 15.2719665272, 4.6025104603, 1.2552301255, 1.2552301255, 0.0, 0.0, 0.0, 0.0, 0.0, 0.2092050209, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",Europe/Berlin,25.0
0,-1,9000001395,2021-03-02T08:00:00.000Z,hourly,0.7566666667,0.0,321.1453744493,169.1629955947,30.3964757709,0.0,0.0,194.2731277533,126.872246696,85.9030837004,83.2599118943,9.2511013216,21.1453744493,1,"[6.9958847737, 32.0987654321, 44.8559670782, 11.5226337449, 3.29218107, 0.0, 0.8230452675, 0.4115226337]","[2.4691358025, 4.5267489712, 14.4032921811, 17.695473251, 27.1604938272, 17.695473251, 7.4074074074, 4.1152263374, 2.4691358025, 0.8230452675, 0.0, 0.0, 0.8230452675, 0.0, 0.0, 0.0, 0.0, 0.4115226337, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",Europe/Berlin,28.0
0,-1,9000001395,2021-03-02T09:00:00.000Z,hourly,0.7766666667,0.0,460.9442060086,96.5665236052,9.0128755365,0.0,0.0,283.2618025751,177.6824034335,47.6394849785,48.9270386266,6.4377682403,2.5751072961,1,"[6.1452513966, 20.9497206704, 46.0893854749, 20.3910614525, 3.9106145251, 0.5586592179, 0.2793296089, 1.6759776536]","[4.1899441341, 1.9553072626, 5.8659217877, 15.0837988827, 29.3296089385, 16.7597765363, 15.0837988827, 5.3072625698, 2.5139664804, 1.3966480447, 0.5586592179, 0.0, 0.2793296089, 0.0, 0.0, 0.0, 0.5586592179, 0.5586592179, 0.0, 0.2793296089, 0.0, 0.2793296089, 0.0, 0.0, 0.0]",Europe/Berlin,31.5
0,-1,9000001395,2021-03-02T10:00:00.000Z,hourly,0.7463888889,0.0,275.9955340528,113.8816524004,9.3784890212,0.0,0.0,175.5117231113,100.4838109416,46.8924451061,66.9892072944,4.0193524377,5.3591365836,1,"[4.854368932, 22.3300970874, 43.6893203883, 16.9902912621, 7.7669902913, 1.9417475728, 0.9708737864, 1.4563106796]","[3.3980582524, 1.4563106796, 8.7378640777, 13.5922330097, 22.3300970874, 21.359223301, 12.1359223301, 4.854368932, 5.3398058252, 2.427184466, 0.4854368932, 1.4563106796, 0.0, 0.9708737864, 0.0, 0.0, 0.4854368932, 0.4854368932, 0.0, 0.0, 0.0, 0.0, 0.0, 0.4854368932, 0.0]",Europe/Berlin,34.5
0,-1,9000001395,2021-03-02T11:00:00.000Z,hourly,0.6944444444,0.0,178.56,305.28,2.88,0.0,0.0,108.0,70.56,155.52,149.76,2.88,0.0,1,"[20.1612903226, 41.1290322581, 28.2258064516, 8.8709677419, 1.6129032258, 0.0, 0.0, 0.0]","[8.064516129, 12.0967741935, 18.5483870968, 22.5806451613, 11.2903225806, 16.935483871, 7.2580645161, 1.6129032258, 1.6129032258, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",Europe/Berlin,26.0
0,-1,9000001395,2021-03-02T12:00:00.000Z,hourly,0.6875,0.0,148.3636363636,226.9090909091,7.2727272727,0.0,0.0,61.0909090909,87.2727272727,117.8181818182,109.0909090909,4.3636363636,2.9090909091,1,"[45.0980392157, 36.2745098039, 15.6862745098, 2.9411764706, 0.0, 0.0, 0.0, 0.0]","[26.4705882353, 18.6274509804, 14.7058823529, 21.568627451, 9.8039215686, 5.8823529412, 1.9607843137, 0.9803921569, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",Europe/Berlin,19.5
0,-1,9000001395,2021-03-02T13:00:00.000Z,hourly,0.7213888889,0.0,313.2845591067,108.1247593377,2.7724297266,0.0,0.0,162.1871390065,151.0974201001,62.3796688487,45.745090489,2.7724297266,0.0,1,"[76.5486725664, 16.814159292, 6.1946902655, 0.0, 0.4424778761, 0.0, 0.0, 0.0]","[56.6371681416, 19.9115044248, 6.1946902655, 10.6194690265, 3.0973451327, 3.0973451327, 0.0, 0.0, 0.0, 0.4424778761, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",Europe/Berlin,13.5
0,-1,9000001395,2021-03-02T14:00:00.000Z,hourly,0.7025,0.0,650.5338078292,109.6085409253,5.6939501779,0.0,0.0,358.71886121,291.8149466192,28.4697508897,81.1387900356,1.4234875445,4.2704626335,1,"[45.295404814, 45.295404814, 9.1903719912, 0.0, 0.0, 0.0, 0.0, 0.2188183807]","[20.7877461707, 24.5076586433, 23.6323851204, 21.6630196937, 7.8774617068, 1.3129102845, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.2188183807, 0.0, 0.0, 0.0]",Europe/Berlin,16.0
0,-1,9000001395,2021-03-02T15:00:00.000Z,hourly,0.7611111111,0.0,747.5912408759,13.1386861314,0.0,0.0,0.0,448.0291970803,299.5620437956,0.0,13.1386861314,0.0,0.0,1,"[44.8154657293, 52.1968365554, 2.6362038664, 0.1757469244, 0.1757469244, 0.0, 0.0, 0.0]","[20.913884007, 23.9015817223, 39.1915641476, 13.0052724077, 1.9332161687, 0.7029876977, 0.1757469244, 0.0, 0.1757469244, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",Europe/Berlin,13.0
